freq,Vppin,Vppout
0.05,1,0.3738
0.053,1,0.3948
0.056,1,0.4163
0.059,1,0.4378
0.063,1,0.4632
0.066,1,0.4798
0.07,1,0.5072
0.074,1,0.5307
0.078,1,0.5541
0.083,1,0.5815
0.088,1,0.6049
0.093,1,0.6294
0.098,1,0.6523
0.104,1,0.6768
0.11,1,0.6973
0.116,1,0.7178
0.123,1,0.7393
0.13,1,0.7633
0.137,1,0.7794
0.145,1,0.796
0.154,1,0.818
0.163,1,0.8341
0.172,1,0.8483
0.182,1,0.8654
0.192,1,0.882
0.204,1,0.8947
0.215,1,0.9074
0.228,1,0.9128
0.241,1,0.9255
0.255,1,0.9318
0.27,1,0.946
0.285,1,0.9485
0.302,1,0.9572
0.319,1,0.9631
0.338,1,0.9739
0.357,1,0.9778
0.378,1,0.9807
0.4,1,0.9851
0.423,1,0.9905
0.447,1,0.9968
0.473,1,0.9963
0.5,1,1.0022
0.529,1,1.0042
0.56,1,1.0046
0.592,1,1.0066
0.626,1,1.0105
0.662,1,1.011
0.701,1,1.0125
0.741,1,1.0149
0.784,1,1.0139
0.829,1,1.0149
0.877,1,1.0188
0.928,1,1.0164
0.981,1,1.0203
1.038,1,1.0188
1.098,1,1.0193
1.161,1,1.0188
1.229,1,1.0208
1.3,1,1.0178
1.375,1,1.0193
1.454,1,1.0193
1.538,1,1.0169
1.627,1,1.0178
1.721,1,1.0183
1.82,1,1.0173
1.926,1,1.0198
2.037,1,1.0169
2.154,1,1.0169
2.279,1,1.0154
2.411,1,1.0144
2.55,1,1.0125
2.697,1,1.01
2.853,1,1.0095
3.018,1,1.0095
3.192,1,1.0086
3.377,1,1.0071
3.572,1,1.0027
3.778,1,1.0017
3.996,1,0.9988
4.227,1,0.9954
4.472,1,0.9934
4.73,1,0.9871
5.003,1,0.9841
5.292,1,0.9817
5.598,1,0.9734
5.922,1,0.9656
6.264,1,0.9582
6.626,1,0.9529
7.008,1,0.9367
7.413,1,0.9206
7.842,1,0.8991
8.295,1,0.8722
8.774,1,0.8385
9.281,1,0.7916
9.817,1,0.7359
10.384,1,0.6714
10.984,1,0.6005
11.619,1,0.5268
12.29,1,0.453
13.0,1,0.3851
